acs_year,community_area,community_area_name,community_area_number,total_population,total_households_est,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian
2023,ROGERS PARK,ROGERS PARK,1,53169,9763,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285
2023,WEST RIDGE,WEST RIDGE,2,79220,18028,85934.37985356113,11.752082807371876,22.12951274930573,46.63342590254986,21.07548598838677
2023,UPTOWN,UPTOWN,3,52674,9158,97222.37388075999,20.594600751794054,14.348635000189846,58.15962334358507,9.554998671071116
2023,LINCOLN SQUARE,LINCOLN SQUARE,4,42180,9343,106661.4042598737,3.847795163584637,19.703651019440493,68.11522048364154,10.30109056424846
2023,NORTH CENTER,NORTH CENTER,5,35782,8598,131004.30332635497,2.531999329271701,12.620870828908389,78.50874741490135,6.327203621932815
2023,LAKE VIEW,LAKE VIEW,6,90652,14856,127498.99030694668,4.316507082027975,9.904911088558443,79.01756166438688,7.044521907955699
2023,LINCOLN PARK,LINCOLN PARK,7,62067,11152,134222.56097560975,3.678283145632945,6.886106948942272,82.06132083071519,6.958609244848309
2023,NEAR NORTH SIDE,NEAR NORTH SIDE,8,91635,16007,128350.09683263573,7.02133464287663,7.272330441425219,70.82774049217002,13.481748240301194
2023,EDISON PARK,EDISON PARK,9,11398,2938,122468.51599727706,0.43867345148271625,14.678013686611685,86.98017195999299,1.5616774872784698
2023,NORWOOD PARK,NORWOOD PARK,10,40074,10605,108692.8335690712,1.285122523331836,19.468982382592202,77.42925587662823,7.00953236512452
2023,JEFFERSON PARK,JEFFERSON PARK,11,26991,6795,103708.60927152318,2.5749323848690304,25.141713904634877,66.36656663332222,12.59308658441703
2023,FOREST GLEN,FOREST GLEN,12,19763,5246,123465.49752192147,0.9765723827354147,10.79289581541264,78.01953144765471,11.081313565754188
2023,NORTH PARK,NORTH PARK,13,19259,4304,90993.84293680298,2.762344877719508,17.6436990497949,52.884365751077425,31.455423438392437
2023,ALBANY PARK,ALBANY PARK,14,47830,10671,87876.01911723362,4.658164332009199,44.13129834831695,44.94250470416057,14.894417729458498
2023,PORTAGE PARK,PORTAGE PARK,15,64201,15314,98938.87945670629,1.8239591283624865,42.86537592872385,59.57695363000576,6.129188018878211
2023,IRVING PARK,IRVING PARK,16,53535,12614,99306.32630410655,3.872233118520594,38.54861305687868,58.19744092649668,9.494723078359952
2023,DUNNING,DUNNING,17,42548,11080,100942.01263537905,2.991915013631663,34.34474005828711,66.95496850615775,5.758202500705086
2023,MONTCLARE,MONTCLARE,18,13755,3202,93449.40662086196,6.703017084696474,54.63467829880043,51.37041075972374,3.2424572882588145
