community_area,total_requests,avg_response_time,community_area_name,total_population,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian,requests_per_1000
1,19701,559.0076680540751,ROGERS PARK,53169,86660.09423332992,25.58257631326525,19.93454832703267,47.262502586093404,5.172186800579285,370.5354623935
2,30387,696.713385475514,WEST RIDGE,79220,85934.37985356113,11.752082807371876,22.12951274930573,46.63342590254986,21.07548598838677,383.57737944963395
3,25226,702.8905724693218,UPTOWN,52674,97222.37388075999,20.594600751794054,14.348635000189846,58.15962334358507,9.554998671071116,478.90800015187756
4,20914,626.7659651164026,LINCOLN SQUARE,42180,106661.4042598737,3.847795163584637,19.703651019440493,68.11522048364154,10.30109056424846,495.82740635372215
5,20984,829.6140743873639,NORTH CENTER,35782,131004.30332635497,2.531999329271701,12.620870828908389,78.50874741490135,6.327203621932815,586.4401095522888
6,39050,691.9827599587423,LAKE VIEW,90652,127498.99030694668,4.316507082027975,9.904911088558443,79.01756166438688,7.044521907955699,430.768212504964
7,33874,764.2312215776767,LINCOLN PARK,62067,134222.56097560975,3.678283145632945,6.886106948942272,82.06132083071519,6.958609244848309,545.7650603380218
8,29569,778.8647180887641,NEAR NORTH SIDE,91635,128350.09683263573,7.02133464287663,7.272330441425219,70.82774049217002,13.481748240301194,322.682381186228
9,6508,1056.759485462337,EDISON PARK,11398,122468.51599727706,0.43867345148271625,14.678013686611685,86.98017195999299,1.5616774872784698,570.9773644499036
10,23430,851.8854422037274,NORWOOD PARK,40074,108692.8335690712,1.285122523331836,19.468982382592202,77.42925587662823,7.00953236512452,584.6683635274742
11,16590,932.1016689270645,JEFFERSON PARK,26991,103708.60927152318,2.5749323848690304,25.141713904634877,66.36656663332222,12.59308658441703,614.649327553629
12,20389,2680.035393689953,FOREST GLEN,19763,123465.49752192147,0.9765723827354147,10.79289581541264,78.01953144765471,11.081313565754188,1031.675352932247
13,10683,813.840788974175,NORTH PARK,19259,90993.84293680298,2.762344877719508,17.6436990497949,52.884365751077425,31.455423438392437,554.7016979074718
14,22891,814.0961974866397,ALBANY PARK,47830,87876.01911723362,4.658164332009199,44.13129834831695,44.94250470416057,14.894417729458498,478.5908425674263
15,42359,1085.7370457281806,PORTAGE PARK,64201,98938.87945670629,1.8239591283624865,42.86537592872385,59.57695363000576,6.129188018878211,659.7872307284933
16,33966,807.544606305652,IRVING PARK,53535,99306.32630410655,3.872233118520594,38.54861305687868,58.19744092649668,9.494723078359952,634.4634351358924
17,25309,979.1302397039262,DUNNING,42548,100942.01263537905,2.991915013631663,34.34474005828711,66.95496850615775,5.758202500705086,594.8340697565103
18,8590,1085.6634932414952,MONTCLARE,13755,93449.40662086196,6.703017084696474,54.63467829880043,51.37041075972374,3.2424572882588145,624.5001817520902
19,38789,925.5653598242342,BELMONT CRAGIN,73988,79959.16432154656,4.554792669081473,77.73017246039899,37.72098178082932,2.6206952478780345,524.2606909228523
20,12770,998.5983603497782,HERMOSA,23200,79531.07019562715,4.685344827586206,80.07758620689656,35.85344827586207,3.0258620689655173,550.4310344827586
21,24861,813.1794110811668,AVONDALE,36350,97008.10706472784,2.5502063273727646,51.18569463548831,53.0646492434663,4.814305364511692,683.9339752407153
22,47298,731.9204505828294,LOGAN SQUARE,71354,106896.02169981918,6.103371920284777,34.7674972671469,64.31874877371976,4.686492698377106,662.8640300473695
23,32565,727.7548720763601,HUMBOLDT PARK,55015,68002.46738039478,36.042897391620464,49.78460419885486,26.678178678542213,2.426610924293375,591.9294737798782
